Ndex,Pokémon,Type,Secondary Typing,Special Form,Generation
#0633,Deino,Dark,Dragon,,5
#0634,Zweilous,Dark,Dragon,,5
#0635,Hydreigon,Dark,Dragon,,5
#0636,Larvesta,Bug,Fire,,5
#0637,Volcarona,Bug,Fire,,5
#0638,Cobalion,Steel,Fighting,,5
#0639,Terrakion,Rock,Fighting,,5
#0640,Virizion,Grass,Fighting,,5
#0641,Tornadus,Flying,,,5
#0642,Thundurus,Electric,Flying,,5
#0643,Reshiram,Dragon,Fire,,5
#0644,Zekrom,Dragon,Electric,,5
#0645,Landorus,Ground,Flying,,5
#0646,Kyurem,Dragon,Ice,,5
#0647,Keldeo,Water,Fighting,,5
#0648,Meloetta,Normal,Psychic,Aria Forme,5
#0648,Meloetta,Normal,Fighting,Pirouette Forme,5
#0649,Genesect,Bug,Steel,,5
#0650,Chespin,Grass,,,6
#0651,Quilladin,Grass,,,6
#0652,Chesnaught,Grass,Fighting,,6
#0653,Fennekin,Fire,,,6
#0654,Braixen,Fire,,,6
#0655,Delphox,Fire,Psychic,,6
#0656,Froakie,Water,,,6
#0657,Frogadier,Water,,,6
#0658,Greninja,Water,Dark,,6
#0659,Bunnelby,Normal,,,6
#0660,Diggersby,Normal,Ground,,6
#0661,Fletchling,Normal,Flying,,6
#0662,Fletchinder,Fire,Flying,,6
#0663,Talonflame,Fire,Flying,,6
#0664,Scatterbug,Bug,,,6
#0665,Spewpa,Bug,,,6
#0666,Vivillon,Bug,Flying,,6
#0667,Litleo,Fire,Normal,,6
#0668,Pyroar,Fire,Normal,,6
#0669,Flabébé,Fairy,,,6
#0670,Floette,Fairy,,,6
#0671,Florges,Fairy,,,6
#0672,Skiddo,Grass,,,6
#0673,Gogoat,Grass,,,6
#0674,Pancham,Fighting,,,6
#0675,Pangoro,Fighting,Dark,,6
#0676,Furfrou,Normal,,,6
#0677,Espurr,Psychic,,,6
#0678,Meowstic,Psychic,,,6
#0679,Honedge,Steel,Ghost,,6
#0680,Doublade,Steel,Ghost,,6
#0681,Aegislash,Steel,Ghost,,6
#0682,Spritzee,Fairy,,,6
#0683,Aromatisse,Fairy,,,6
#0684,Swirlix,Fairy,,,6
#0685,Slurpuff,Fairy,,,6
#0686,Inkay,Dark,Psychic,,6
#0687,Malamar,Dark,Psychic,,6
#0688,Binacle,Rock,Water,,6
#0689,Barbaracle,Rock,Water,,6
#0690,Skrelp,Poison,Water,,6
#0691,Dragalge,Poison,Dragon,,6
#0692,Clauncher,Water,,,6
#0693,Clawitzer,Water,,,6
#0694,Helioptile,Electric,Normal,,6
#0695,Heliolisk,Electric,Normal,,6
#0696,Tyrunt,Rock,Dragon,,6
#0697,Tyrantrum,Rock,Dragon,,6
#0698,Amaura,Rock,Ice,,6
#0699,Aurorus,Rock,Ice,,6
#0700,Sylveon,Fairy,,,6
#0701,Hawlucha,Fighting,Flying,,6
#0702,Dedenne,Electric,Fairy,,6
#0703,Carbink,Rock,Fairy,,6
#0704,Goomy,Dragon,,,6
#0705,Sliggoo,Dragon,,,6
#0705,Sliggoo,Steel,Dragon,Hisuian Form,6
#0706,Goodra,Dragon,,,6
#0706,Goodra,Steel,Dragon,Hisuian Form,6
#0707,Klefki,Steel,Fairy,,6
#0708,Phantump,Ghost,Grass,,6
#0709,Trevenant,Ghost,Grass,,6
#0710,Pumpkaboo,Ghost,Grass,,6
#0711,Gourgeist,Ghost,Grass,,6
#0712,Bergmite,Ice,,,6
#0713,Avalugg,Ice,,,6
#0713,Avalugg,Ice,Rock,Hisuian Form,6
#0714,Noibat,Flying,Dragon,,6
#0715,Noivern,Flying,Dragon,,6
#0716,Xerneas,Fairy,,,6
#0717,Yveltal,Dark,Flying,,6
#0718,Zygarde,Dragon,Ground,,6
#0719,Diancie,Rock,Fairy,,6
#0720,Hoopa,Psychic,Ghost,Hoopa Confined,6
#0720,Hoopa,Psychic,Dark,Hoopa Unbound,6
#0721,Volcanion,Fire,Water,,6
#0722,Rowlet,Grass,Flying,,7
#0723,Dartrix,Grass,Flying,,7
#0724,Decidueye,Grass,Ghost,,7
#0724,Decidueye,Grass,Fighting,Hisuian Form,7
#0725,Litten,Fire,,,7
#0726,Torracat,Fire,,,7
#0727,Incineroar,Fire,Dark,,7
#0728,Popplio,Water,,,7
#0729,Brionne,Water,,,7
#0730,Primarina,Water,Fairy,,7
#0731,Pikipek,Normal,Flying,,7
#0732,Trumbeak,Normal,Flying,,7
#0733,Toucannon,Normal,Flying,,7
#0734,Yungoos,Normal,,,7
#0735,Gumshoos,Normal,,,7
#0736,Grubbin,Bug,,,7
#0737,Charjabug,Bug,Electric,,7
#0738,Vikavolt,Bug,Electric,,7
#0739,Crabrawler,Fighting,,,7
#0740,Crabominable,Fighting,Ice,,7
#0741,Oricorio,Fire,Flying,Baile Style,7
#0741,Oricorio,Electric,Flying,Pom-Pom Style,7
#0741,Oricorio,Psychic,Flying,Pa’u Style,7
#0741,Oricorio,Ghost,Flying,Sensu Style,7
#0742,Cutiefly,Bug,Fairy,,7
#0743,Ribombee,Bug,Fairy,,7
#0744,Rockruff,Rock,,,7
#0745,Lycanroc,Rock,,,7
#0746,Wishiwashi,Water,,,7
#0747,Mareanie,Poison,Water,,7
#0748,Toxapex,Poison,Water,,7
#0749,Mudbray,Ground,,,7
#0750,Mudsdale,Ground,,,7
#0751,Dewpider,Water,Bug,,7
#0752,Araquanid,Water,Bug,,7
#0753,Fomantis,Grass,,,7
#0754,Lurantis,Grass,,,7
#0755,Morelull,Grass,Fairy,,7
#0756,Shiinotic,Grass,Fairy,,7
#0757,Salandit,Poison,Fire,,7
#0758,Salazzle,Poison,Fire,,7
#0759,Stufful,Normal,Fighting,,7
#0760,Bewear,Normal,Fighting,,7
#0761,Bounsweet,Grass,,,7
#0762,Steenee,Grass,,,7
#0763,Tsareena,Grass,,,7
#0764,Comfey,Fairy,,,7
#0765,Oranguru,Normal,Psychic,,7
#0766,Passimian,Fighting,,,7
#0767,Wimpod,Bug,Water,,7
#0768,Golisopod,Bug,Water,,7
#0769,Sandygast,Ghost,Ground,,7
#0770,Palossand,Ghost,Ground,,7
#0771,Pyukumuku,Water,,,7
#0772,Type: Null,Normal,,,7
#0773,Silvally,Normal,,,7
#0774,Minior,Rock,Flying,,7
#0775,Komala,Normal,,,7
#0776,Turtonator,Fire,Dragon,,7
#0777,Togedemaru,Electric,Steel,,7
#0778,Mimikyu,Ghost,Fairy,,7
#0779,Bruxish,Water,Psychic,,7
#0780,Drampa,Normal,Dragon,,7
#0781,Dhelmise,Ghost,Grass,,7
#0782,Jangmo-o,Dragon,,,7
#0783,Hakamo-o,Dragon,Fighting,,7
#0784,Kommo-o,Dragon,Fighting,,7
#0785,Tapu Koko,Electric,Fairy,,7
#0786,Tapu Lele,Psychic,Fairy,,7
#0787,Tapu Bulu,Grass,Fairy,,7
#0788,Tapu Fini,Water,Fairy,,7
#0789,Cosmog,Psychic,,,7
#0790,Cosmoem,Psychic,,,7
#0791,Solgaleo,Psychic,Steel,,7
#0792,Lunala,Psychic,Ghost,,7
#0793,Nihilego,Rock,Poison,,7
#0794,Buzzwole,Bug,Fighting,,7
#0795,Pheromosa,Bug,Fighting,,7
#0796,Xurkitree,Electric,,,7
#0797,Celesteela,Steel,Flying,,7
#0798,Kartana,Grass,Steel,,7
#0799,Guzzlord,Dark,Dragon,,7
#0800,Necrozma,Psychic,,,7
#0800,Necrozma,Psychic,Steel,Dusk Mane,7
#0800,Necrozma,Psychic,Ghost,Dawn Wings,7
#0801,Magearna,Steel,Fairy,,7
#0802,Marshadow,Fighting,Ghost,,7
#0803,Poipole,Poison,,,7
#0804,Naganadel,Poison,Dragon,,7
#0805,Stakataka,Rock,Steel,,7
#0806,Blacephalon,Fire,Ghost,,7
#0807,Zeraora,Electric,,,7
#0808,Meltan,Steel,,,7
#0809,Melmetal,Steel,,,7
#0810,Grookey,Grass,,,8
#0811,Thwackey,Grass,,,8
#0812,Rillaboom,Grass,,,8
#0813,Scorbunny,Fire,,,8
#0814,Raboot,Fire,,,8
#0815,Cinderace,Fire,,,8
#0816,Sobble,Water,,,8
#0817,Drizzile,Water,,,8
#0818,Inteleon,Water,,,8
#0819,Skwovet,Normal,,,8
#0820,Greedent,Normal,,,8
#0821,Rookidee,Flying,,,8
#0822,Corvisquire,Flying,,,8
#0823,Corviknight,Flying,Steel,,8
#0824,Blipbug,Bug,,,8
#0825,Dottler,Bug,Psychic,,8
#0826,Orbeetle,Bug,Psychic,,8
#0827,Nickit,Dark,,,8
#0828,Thievul,Dark,,,8
#0829,Gossifleur,Grass,,,8
#0830,Eldegoss,Grass,,,8
#0831,Wooloo,Normal,,,8
#0832,Dubwool,Normal,,,8
#0833,Chewtle,Water,,,8
#0834,Drednaw,Water,Rock,,8
#0835,Yamper,Electric,,,8
#0836,Boltund,Electric,,,8
#0837,Rolycoly,Rock,,,8
#0838,Carkol,Rock,Fire,,8
#0839,Coalossal,Rock,Fire,,8
#0840,Applin,Grass,Dragon,,8
#0841,Flapple,Grass,Dragon,,8
#0842,Appletun,Grass,Dragon,,8
#0843,Silicobra,Ground,,,8
#0844,Sandaconda,Ground,,,8
#0845,Cramorant,Flying,Water,,8
#0846,Arrokuda,Water,,,8
#0847,Barraskewda,Water,,,8
#0848,Toxel,Electric,Poison,,8
#0849,Toxtricity,Electric,Poison,,8
#0850,Sizzlipede,Fire,Bug,,8
#0851,Centiskorch,Fire,Bug,,8
#0852,Clobbopus,Fighting,,,8
#0853,Grapploct,Fighting,,,8
#0854,Sinistea,Ghost,,,8
#0855,Polteageist,Ghost,,,8
#0856,Hatenna,Psychic,,,8
#0857,Hattrem,Psychic,,,8
#0858,Hatterene,Psychic,Fairy,,8
#0859,Impidimp,Dark,Fairy,,8
#0860,Morgrem,Dark,Fairy,,8
#0861,Grimmsnarl,Dark,Fairy,,8
#0862,Obstagoon,Dark,Normal,,8
#0863,Perrserker,Steel,,,8
#0864,Cursola,Ghost,,,8
#0865,Sirfetch'd,Fighting,,,8
#0866,Mr. Rime,Ice,Psychic,,8
#0867,Runerigus,Ground,Ghost,,8
#0868,Milcery,Fairy,,,8
#0869,Alcremie,Fairy,,,8
#0870,Falinks,Fighting,,,8
#0871,Pincurchin,Electric,,,8
#0872,Snom,Ice,Bug,,8
#0873,Frosmoth,Ice,Bug,,8
#0874,Stonjourner,Rock,,,8
#0875,Eiscue,Ice,,,8
#0876,Indeedee,Psychic,Normal,,8
#0877,Morpeko,Electric,Dark,,8
#0878,Cufant,Steel,,,8
#0879,Copperajah,Steel,,,8
#0880,Dracozolt,Electric,Dragon,,8
#0881,Arctozolt,Electric,Ice,,8
#0882,Dracovish,Water,Dragon,,8
#0883,Arctovish,Water,Ice,,8
#0884,Duraludon,Steel,Dragon,,8
#0885,Dreepy,Dragon,Ghost,,8
#0886,Drakloak,Dragon,Ghost,,8
#0887,Dragapult,Dragon,Ghost,,8
#0888,Zacian,Fairy,,Hero of Many Battles,8
#0888,Zacian,Fairy,Steel,Crowned Sword,8
#0889,Zamazenta,Fighting,,Hero of Many Battles,8
#0889,Zamazenta,Fighting,Steel,Crowned Shield,8
#0890,Eternatus,Poison,Dragon,,8
#0891,Kubfu,Fighting,,,8
#0892,Urshifu,Fighting,Dark,Single Strike Style,8
#0892,Urshifu,Fighting,Water,Rapid Strike Style,8
#0893,Zarude,Dark,Grass,,8
#0894,Regieleki,Electric,,,8
#0895,Regidrago,Dragon,,,8
#0896,Glastrier,Ice,,,8
#0897,Spectrier,Ghost,,,8
#0898,Calyrex,Psychic,Grass,,8
#0898,Calyrex,Psychic,Ice,Ice Rider,8
#0898,Calyrex,Psychic,Ghost,Shadow Rider,8
#0899,Wyrdeer,Normal,Psychic,,8
#0900,Kleavor,Bug,Rock,,8
#0901,Ursaluna,Ground,Normal,,8
#0902,Basculegion,Water,Ghost,,8
#0903,Sneasler,Fighting,Poison,,8
#0904,Overqwil,Dark,Poison,,8
#0905,Enamorus,Fairy,Flying,,8
#0906,Sprigatito,Grass,,,9
#0907,Floragato,Grass,,,9
#0908,Meowscarada,Grass,Dark,,9
#0909,Fuecoco,Fire,,,9
#0910,Crocalor,Fire,,,9
#0911,Skeledirge,Fire,Ghost,,9
#0912,Quaxly,Water,,,9
#0913,Quaxwell,Water,,,9
#0914,Quaquaval,Water,Fighting,,9
#0915,Lechonk,Normal,,,9
#0916,Oinkologne,Normal,,,9
#0917,Tarountula,Bug,,,9
#0918,Spidops,Bug,,,9
#0919,Nymble,Bug,,,9
#0920,Lokix,Bug,Dark,,9
#0921,Pawmi,Electric,,,9
#0922,Pawmo,Electric,Fighting,,9
#0923,Pawmot,Electric,Fighting,,9
#0924,Tandemaus,Normal,,,9
#0925,Maushold,Normal,,,9
#0926,Fidough,Fairy,,,9
#0927,Dachsbun,Fairy,,,9
#0928,Smoliv,Grass,Normal,,9
#0929,Dolliv,Grass,Normal,,9
#0930,Arboliva,Grass,Normal,,9
#0931,Squawkabilly,Normal,Flying,,9
#0932,Nacli,Rock,,,9
#0933,Naclstack,Rock,,,9
#0934,Garganacl,Rock,,,9
#0935,Charcadet,Fire,,,9
#0936,Armarouge,Fire,Psychic,,9
#0937,Ceruledge,Fire,Ghost,,9
#0938,Tadbulb,Electric,,,9
#0939,Bellibolt,Electric,,,9
#0940,Wattrel,Electric,Flying,,9
#0941,Kilowattrel,Electric,Flying,,9
#0942,Maschiff,Dark,,,9
#0943,Mabosstiff,Dark,,,9
#0944,Shroodle,Poison,Normal,,9
#0945,Grafaiai,Poison,Normal,,9
#0946,Bramblin,Grass,Ghost,,9
#0947,Brambleghast,Grass,Ghost,,9
#0948,Toedscool,Ground,Grass,,9
#0949,Toedscruel,Ground,Grass,,9
#0950,Klawf,Rock,,,9
#0951,Capsakid,Grass,,,9
#0952,Scovillain,Grass,Fire,,9
#0953,Rellor,Bug,,,9
#0954,Rabsca,Bug,Psychic,,9
#0955,Flittle,Psychic,,,9
#0956,Espathra,Psychic,,,9
#0957,Tinkatink,Fairy,Steel,,9
#0958,Tinkatuff,Fairy,Steel,,9
#0959,Tinkaton,Fairy,Steel,,9
#0960,Wiglett,Water,,,9
#0961,Wugtrio,Water,,,9
#0962,Bombirdier,Flying,Dark,,9
#0963,Finizen,Water,,,9
#0964,Palafin,Water,,,9
#0965,Varoom,Steel,Poison,,9
#0966,Revavroom,Steel,Poison,,9
#0967,Cyclizar,Dragon,Normal,,9
#0968,Orthworm,Steel,,,9
#0969,Glimmet,Rock,Poison,,9
#0970,Glimmora,Rock,Poison,,9
#0971,Greavard,Ghost,,,9
#0972,Houndstone,Ghost,,,9
#0973,Flamigo,Flying,Fighting,,9
#0974,Cetoddle,Ice,,,9
#0975,Cetitan,Ice,,,9
#0976,Veluza,Water,Psychic,,9
#0977,Dondozo,Water,,,9
#0978,Tatsugiri,Dragon,Water,,9
#0979,Annihilape,Fighting,Ghost,,9
#0980,Clodsire,Poison,Ground,,9
#0981,Farigiraf,Normal,Psychic,,9
#0982,Dudunsparce,Normal,,,9
#0983,Kingambit,Dark,Steel,,9
#0984,Great Tusk,Ground,Fighting,,9
#0985,Scream Tail,Fairy,Psychic,,9
#0986,Brute Bonnet,Grass,Dark,,9
#0987,Flutter Mane,Ghost,Fairy,,9
#0988,Slither Wing,Bug,Fighting,,9
#0989,Sandy Shocks,Electric,Ground,,9
#0990,Iron Treads,Ground,Steel,,9
#0991,Iron Bundle,Ice,Water,,9
#0992,Iron Hands,Fighting,Electric,,9
#0993,Iron Jugulis,Dark,Flying,,9
#0994,Iron Moth,Fire,Poison,,9
#0995,Iron Thorns,Rock,Electric,,9
#0996,Frigibax,Dragon,Ice,,9
#0997,Arctibax,Dragon,Ice,,9
#0998,Baxcalibur,Dragon,Ice,,9
#0999,Gimmighoul,Ghost,,,9
#1000,Gholdengo,Steel,Ghost,,9
#1001,Wo-Chien,Dark,Grass,,9
#1002,Chien-Pao,Dark,Ice,,9
#1003,Ting-Lu,Dark,Ground,,9
#1004,Chi-Yu,Dark,Fire,,9
#1005,Roaring Moon,Dragon,Dark,,9
#1006,Iron Valiant,Fairy,Fighting,,9
#1007,Koraidon,Fighting,Dragon,,9
#1008,Miraidon,Electric,Dragon,,9
#1009,Walking Wake,Water,Dragon,,9
#1010,Iron Leaves,Grass,Psychic,,9
#1011,Dipplin,Grass,Dragon,,9
#1012,Poltchageist,Grass,Ghost,,9
#1013,Sinistcha,Grass,Ghost,,9
#1014,Okidogi,Poison,Fighting,,9
#1015,Munkidori,Poison,Psychic,,9
#1016,Fezandipiti,Poison,Fairy,,9
#1017,Ogerpon,Grass,,Teal Mask,9
#1017,Ogerpon,Grass,Water,Wellspring Mask,9
#1017,Ogerpon,Grass,Fire,Hearthflame Mask,9
#1017,Ogerpon,Grass,Rock,Cornerstone Mask,9
#1018,Archaludon,Steel,Dragon,,9
#1019,Hydrapple,Grass,Dragon,,9
#1020,Gouging Fire,Fire,Dragon,,9
#1021,Raging Bolt,Electric,Dragon,,9
#1022,Iron Boulder,Rock,Psychic,,9
#1023,Iron Crown,Steel,Psychic,,9
#1024,Terapagos,Normal,,,9
#1025,Pecharunt,Poison,Ghost,,9
